"ID","Handle","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: fixmytoys.bwpid [single_line_text_field]","Metafield: fixmytoys.brand [single_line_text_field]","Metafield: fixmytoys.model [single_line_text_field]","Metafield: fixmytoys.equipmenttype [single_line_text_field]","Metafield: fixmytoys.submodel [single_line_text_field]","Metafield: fixmytoys.year [single_line_text_field]","Metafield: fixmytoys.breadcrumbs [single_line_text_field]","Metafield: fixmytoys.manufacturer [single_line_text_field]"
"171655856209","1985-honda-v30-magna","1985 Honda V30 Magna | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda V30 Magna Parts to get You Up and Running again.","1113471,1113472,1357532","Honda","V30 Magna","Street Motorcycle","V30 Magna","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,V30 Magna|collections/1985-honda-v30-magna",""
"171656085585","1985-honda-xl350r","1985 Honda XL350R | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XL350R Parts to get You Up and Running again.","1113493,1113494,1360804","Honda","XL350R","Dual Sport Motorcycle","XL350R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XL350R|collections/1985-honda-xl350r",""
"171655233617","1985-honda-elite-80","1985 Honda Elite 80 | Parts and Accessories","IN-STOCK OEM Honda Scooter  Parts & Accessories. SAME-DAY Ship on 1985 Honda Elite 80 Parts to get You Up and Running again.","1112849,1112850,1357057","Honda","Elite 80","Scooter","0350021U,Elite 0350002U","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Elite 80|collections/1985-honda-elite-80",""
"171656118353","1985-honda-xl600r","1985 Honda XL600R | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XL600R Parts to get You Up and Running again.","1352619","Honda","XL600R","Dual Sport Motorcycle","XL600R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XL600R|collections/1985-honda-xl600r",""
"171656052817","1985-honda-xl250r","1985 Honda XL250R | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XL250R Parts to get You Up and Running again.","1356890","Honda","XL250R","Dual Sport Motorcycle","XL250R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XL250R|collections/1985-honda-xl250r",""
"171653890129","1985-arctic-cat-jag","1985 Arctic Cat Jag | Parts and Accessories","IN-STOCK OEM Arctic Cat Snowmobile  Parts & Accessories. SAME-DAY Ship on 1985 Arctic Cat Jag Parts to get You Up and Running again.","1001478,1382486","Arctic Cat","Jag","Snowmobile","Jag","1985","1985|pages/oem-parts?brand=Arctic%20Cat&year=1985,Arctic Cat|pages/oem-parts?brand=Arctic%20Cat,Jag|collections/1985-arctic-cat-jag",""
"171655823441","1985-honda-spree-50","1985 Honda Spree 50 | Parts and Accessories","IN-STOCK OEM Honda Scooter  Parts & Accessories. SAME-DAY Ship on 1985 Honda Spree 50 Parts to get You Up and Running again.","1112853,1112854,1361648,1375255","Honda","Spree 50","Scooter","Spree PC1532","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Spree 50|collections/1985-honda-spree-50",""
"171655888977","1985-honda-v65-magna","1985 Honda V65 Magna | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda V65 Magna Parts to get You Up and Running again.","1359712","Honda","V65 Magna","Street Motorcycle","V65 Magna","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,V65 Magna|collections/1985-honda-v65-magna",""
"171656380497","1985-honda-z50r","1985 Honda Z50R | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Z50R Parts to get You Up and Running again.","1113505,1356905","Honda","Z50R","Dual Sport Motorcycle","Z50R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Z50R|collections/1985-honda-z50r",""
"171656216657","1985-honda-xr200r","1985 Honda XR200R | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XR200R Parts to get You Up and Running again.","1113500,1356578","Honda","XR200R","Dual Sport Motorcycle","XR200R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XR200R|collections/1985-honda-xr200r",""
"171656314961","1985-honda-xr600r","1985 Honda XR600R | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XR600R Parts to get You Up and Running again.","1113503,1350109","Honda","XR600R","Dual Sport Motorcycle","XR600R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XR600R|collections/1985-honda-xr600r",""
"171656249425","1985-honda-xr250r","1985 Honda XR250R | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XR250R Parts to get You Up and Running again.","1113501,1353945","Honda","XR250R","Dual Sport Motorcycle","XR250R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XR250R|collections/1985-honda-xr250r",""
"171656347729","1985-honda-xr80r","1985 Honda XR80R | Parts and Accessories","IN-STOCK OEM Honda Off-road Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XR80R Parts to get You Up and Running again.","1113504,1365580","Honda","XR80R","Off-road Motorcycle","XR80R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XR80R|collections/1985-honda-xr80r",""
